slang_term,meaning,slang_sentence,normal_sentence,source
NLT,no later than,Get those notes to me NLT tomorrow morning.,Get those notes to me by tomorrow morning at the latest.,grok
Storage Full,no space left,"Can't save the video, storage full on my phone again.","Can't save the video, my phone is completely out of space again.",grok
GBTW,get back to work,"Break's over, GBTW before the boss notices.","Break's over, get back to work before the boss notices.",grok
IANAL,not a lawyer,IANAL but you should probably read the fine print first.,I'm no lawyer but you should probably read the fine print first.,grok
l33t,elite,"His coding skills are pure l33t, man.","His coding skills are seriously elite, man.",grok
YMMV,results may differ,This trick fixed my lag but YMMV with your setup.,This trick fixed my lag but it might not work the same for you.,grok
ImL,I love you,"ImL for real, you've been such a solid friend.","I love you for real, you've been such a solid friend.",grok
KT,Katie,KT just texted saying she'll be late to the meetup.,Katie just texted saying she'll be late to the meetup.,grok
Creative Block,no ideas,"Hit a creative block hard, can't finish this design.","I've got no ideas at all, can't finish this design.",grok
Headcanon,personal belief,My headcanon is that those two characters are siblings.,I personally believe those two characters are siblings.,grok
^5,high five,"You nailed that presentation, ^5!","You nailed that presentation, high five!",grok
sus af,really suspicious,His story about the missing money is sus af.,His story about the missing money is super suspicious.,grok
FYEO,for your eyes only,"I'm sending the password FYEO, keep it quiet.","I'm sending the password just for you, keep it quiet.",grok
TTLY,totally,"That new track is TTLY fire, I can't stop playing it.","That new track is totally fire, I can't stop playing it.",grok
Notification Ping,alert sound,My phone kept going off with a notification ping all night.,My phone kept going off with alert sounds all night.,grok
Fit,outfit,"Your fit for the party is clean, where'd you get it?","Your outfit for the party looks sharp, where'd you get it?",grok
XP Grind,farming experience,Spent the whole afternoon on that XP grind to level up.,Spent the whole afternoon farming experience to level up.,grok
DWM,divorced white male,The dating app matched me with a DWM who likes hiking.,The dating app matched me with a divorced white guy who likes hiking.,grok
BCNU,be seeing you,"Class is starting, BCNU at lunch!","Class is starting, see you at lunch!",grok
TMOT,trust me on this,"Skip the long route, take the shortcut TMOT.","Skip the long route, take the shortcut trust me.",grok
Game Over,total failure,One more mistake and it's game over for this project.,One more mistake and this project is completely done for.,grok
Dark Mode,night theme,My eyes feel better when I switch to dark mode late at night.,My eyes feel better when I switch to the night theme late at night.,grok
CWYL,chat later,"Gotta run to practice, CWYL this evening.","Gotta run to practice, chat with you this evening.",grok
MKAY,"mm, okay","MKAY, I can meet you after class if that still works.","Alright, I can meet you after class if that still works.",grok
PMFI,sorry for interrupting,"PMFI, but do you still have those notes from yesterday?","Sorry to cut in, but do you still have those notes from yesterday?",grok
Unproblematic,drama free,She's unproblematic and just easy to hang with.,She's drama-free and just easy to hang with.,grok
Fast Thinker,quick mind,My friend is a fast thinker in any group project.,My friend thinks really quickly in any group project.,grok
Keyboard Smash,random letters,I got so frustrated I just did a keyboard smash in the chat.,I got so frustrated I just typed random letters in the chat.,grok
FB,Facebook,She posted the party pics on FB last night.,She posted the party pics on Facebook last night.,grok
Feelsbatman,to the extreme,"That ending hit me feelsbatman, I need a minute.","That ending hit me so hard, I need a minute.",grok
Drip Check,check outfit,"Hold up, drip check before we walk in.","Hold up, let me check your outfit before we walk in.",grok
Info Dump,give lots of info,"Sorry for the info dump, but here's how the whole plan works.","Sorry for all the details at once, but here's how the whole plan works.",grok
Angelcore,heaven aesthetic,Her room is full of soft whites and pure angelcore vibes.,Her room is full of soft whites and pure heavenly style.,grok
Emote,dance or gesture,Just emote once so they know you're actually in the lobby.,Just do a quick dance or wave so they know you're actually in the lobby.,grok
BIB,boss is back,"Heads up, BIB so everyone look busy.","Heads up, the boss is back so everyone look busy.",grok
EI,eat it,"You lost the bet, so EI and buy the pizza.","You lost the bet, so deal with it and buy the pizza.",grok
Valid,understandable,Your reason for skipping is totally valid.,Your reason for skipping makes complete sense.,grok
LOTI,laughing on the inside,His dad joke was so bad I was just LOTI.,His dad joke was so bad I was just laughing inside.,grok
Voice Note,audio message,"Don't type all that, just send a voice note.","Don't type all that, just send an audio message.",grok
WTGP,want to go private,"This is getting personal, WTGP?","This is getting personal, want to take it private?",grok
Bae,significant other,Bae is waiting outside so I gotta bounce.,My girlfriend is waiting outside so I have to go.,grok
ABD,already been done,"Don't rewrite that part, ABD by the other team.","Don't rewrite that part, the other team already finished it.",grok
Zesty,flamboyant,His dance moves were super zesty last night.,His dance moves were super flamboyant last night.,grok
Grounded,calm and stable,She stays grounded even when everything falls apart.,She stays calm and steady even when everything falls apart.,grok
TBT,throwback Thursday,"Found this old photo for TBT, look how young we were.","Found this old photo for Throwback Thursday, look how young we were.",grok
MOS,mom watching,"Can't talk freely right now, MOS.","Can't talk freely right now, my mom's over my shoulder.",grok
WAREZ,pirated software,He only installs old games through warez.,He only installs old games through pirated software.,grok
alpha af,immature high-IQ rage gamer,"Dude is alpha af, raging every time he dies from his own mistakes yet drops 200 IQ plays.","That guy acts like a 12-year-old stuck in a 22-year-old body, loses it every time he dies from dumb mistakes, and somehow still posts high-IQ quality content.",grok
VGG,really solid game,"Bro that ranked match was VGG, we actually clutched it.","Dude that ranked match was solid, we actually pulled it off.",grok
Touch Grass,go outside,"You've been doomscrolling for hours, go touch grass.","You've been scrolling endlessly for hours, go outside for a bit.",grok
Soft Era,chill peaceful phase,"I'm fully in my soft era, just journaling and soft playlists.","I'm in a calm peaceful stretch right now, just writing and playing mellow music.",grok
AYV,are you up,AYV? I need someone to rant at real quick.,You awake? I need someone to vent to for a minute.,grok
Save Point,safe breather moment,Finally hit a save point after that brutal week of exams.,Finally reached a calm stretch after that brutal week of exams.,grok
Aesthetic,visual vibe,Your whole feed has that cozy fall aesthetic now.,Your whole page has that cozy autumn look going now.,grok
GB,bye for now,"Gotta run to practice, GB y'all.","Gotta head to practice, bye everyone.",grok
Under Pressure,really stressed,"I'm under pressure with three deadlines tomorrow, help.","I'm totally stressed with three deadlines tomorrow, help.",grok
GMBA,laughing hard,That video of the cat falling had me GMBA all morning.,That video of the cat falling had me cracking up all morning.,grok
IRL,in person,We should actually hang IRL next weekend instead of just texting.,We should actually hang out in person next weekend instead of just texting.,grok
AAYF,always your friend,"Text me if you need anything, AAYF.","Text me if you need anything, always your friend.",grok
FYA,just for laughs,"Dropping this ridiculous clip FYA, no context needed.","Sending this ridiculous clip just for laughs, no context needed.",grok
Receipts,actual proof,He denied saying it but I got the receipts in our group chat.,He denied saying it but I have the screenshots from our group chat.,grok
Close Call,almost blew it,"That was a close call, I almost sent the email to the wrong person.","That was almost a disaster, I nearly emailed the wrong person.",grok
